 No.     Event UTC PERI       Event SCLK PERI      OP-Event UTC APO       SolLon   SolLat   SC Lon   SC Lat      Alt       Sol Dist
13766  2021 APR 15 15:41:22    2/0671773106.32959  2021 APR 15 17:29:31   276.70    12.89   241.96   -19.51      184.50   243591210.5
13767  2021 APR 15 19:17:46    2/0671786090.44455  2021 APR 15 21:05:56   224.04    12.92   189.04   -19.31      185.24   243609738.7
13768  2021 APR 15 22:54:11    2/0671799076.21400  2021 APR 16 00:42:21   171.36    12.94   136.11   -19.15      184.74   243628241.8
13769  2021 APR 16 02:30:35    2/0671812059.22938  2021 APR 16 04:18:43   118.70    12.97    83.21   -19.00      184.06   243646713.8
13770  2021 APR 16 06:06:57    2/0671825042.11800  2021 APR 16 07:55:08    66.04    12.99    30.31   -18.85      184.78   243665158.2
13771  2021 APR 16 09:43:23    2/0671838027.31700  2021 APR 16 11:31:33    13.37    13.02   337.39   -18.66      185.47   243683578.7
13772  2021 APR 16 13:19:48    2/0671851012.37919  2021 APR 16 15:07:56   320.70    13.04   284.46   -18.52      185.06   243701971.5
13773  2021 APR 16 16:56:10    2/0671863994.20376  2021 APR 16 18:44:20   268.04    13.07   231.58   -18.38      184.94   243720332.2
13774  2021 APR 16 20:32:35    2/0671876979.49214  2021 APR 16 22:20:45   215.37    13.09   178.65   -18.19      185.50   243738670.7
13775  2021 APR 17 00:09:01    2/0671889965.42822  2021 APR 17 01:57:10   162.70    13.12   125.72   -18.03      184.78   243756982.3
13776  2021 APR 17 03:45:24    2/0671902948.59873  2021 APR 17 05:33:34   110.03    13.14    72.83   -17.89      184.28   243775262.8
13777  2021 APR 17 07:21:48    2/0671915932.45783  2021 APR 17 09:09:59    57.37    13.17    19.93   -17.73      185.15   243793516.5
13778  2021 APR 17 10:58:14    2/0671928918.49704  2021 APR 17 12:46:24     4.69    13.19   326.99   -17.54      185.71   243811745.9
13779  2021 APR 17 14:34:39    2/0671941903.50467  2021 APR 17 16:22:48   312.02    13.22   274.07   -17.42      185.15   243829946.3
13780  2021 APR 17 18:11:01    2/0671954885.26247  2021 APR 17 19:59:11   259.37    13.24   221.19   -17.23      185.57   243848114.3
13781  2021 APR 17 21:47:27    2/0671967871.24080  2021 APR 17 23:35:37   206.69    13.27   168.25   -17.05      185.89   243866260.9
13782  2021 APR 18 01:23:52    2/0671980856.50853  2021 APR 18 03:12:01   154.02    13.29   115.33   -16.89      185.07   243884379.1
13783  2021 APR 18 05:00:15    2/0671993839.49445  2021 APR 18 06:48:25   101.36    13.32    62.44   -16.75      184.85   243902466.2
13784  2021 APR 18 08:36:39    2/0672006824.10041  2021 APR 18 10:24:51    48.69    13.34     9.53   -16.57      185.78   243920527.7
13785  2021 APR 18 12:13:06    2/0672019810.28452  2021 APR 18 14:01:15   356.02    13.37   316.59   -16.40      186.12   243938564.1
13786  2021 APR 18 15:49:30    2/0672032795.03691  2021 APR 18 17:37:40   303.35    13.39   263.69   -16.30      185.39   243956570.5
13787  2021 APR 18 19:25:52    2/0672045777.01784  2021 APR 18 21:14:03   250.69    13.41   210.79   -16.10      186.05   243974545.5
13788  2021 APR 18 23:02:18    2/0672058762.50633  2021 APR 19 00:50:28   198.02    13.44   157.86   -15.92      186.07   243992498.0
13789  2021 APR 19 02:38:42    2/0672071747.03560  2021 APR 19 04:26:51   145.35    13.46   104.95   -15.77      185.23   244010420.7
13790  2021 APR 19 06:15:05    2/0672084729.22639  2021 APR 19 08:03:15    92.69    13.49    52.06   -15.62      185.34   244028312.9
13791  2021 APR 19 09:51:29    2/0672097713.40388  2021 APR 19 11:39:40    40.03    13.51   359.15   -15.45      186.23   244046180.0
13792  2021 APR 19 13:27:55    2/0672110699.19076  2021 APR 19 15:16:04   347.36    13.54   306.21   -15.28      186.31   244064021.3
13793  2021 APR 19 17:04:18    2/0672123682.23425  2021 APR 19 18:52:27   294.69    13.56   253.33   -15.18      185.73   244081831.1
13794  2021 APR 19 20:40:41    2/0672136665.04529  2021 APR 19 22:28:51   242.03    13.59   200.42   -14.98      186.48   244099612.5
13795  2021 APR 20 00:17:06    2/0672149650.39904  2021 APR 20 02:05:16   189.36    13.61   147.49   -14.81      186.27   244117369.9
13796  2021 APR 20 03:53:30    2/0672162634.10384  2021 APR 20 05:41:39   136.70    13.64    94.59   -14.66      185.45   244135096.7
13797  2021 APR 20 07:29:52    2/0672175616.23209  2021 APR 20 09:18:02    84.04    13.66    41.70   -14.51      185.87   244152793.8
13798  2021 APR 20 11:06:16    2/0672188600.61382  2021 APR 20 12:54:27    31.37    13.69   348.79   -14.33      186.70   244170466.1
13799  2021 APR 20 14:42:42    2/0672201586.07622  2021 APR 20 16:30:51   338.70    13.71   295.85   -14.17      186.56   244188111.3
13800  2021 APR 20 18:19:04    2/0672214568.39529  2021 APR 20 20:07:14   286.04    13.73   242.98   -14.06      186.22   244205724.8
13801  2021 APR 20 21:55:28    2/0672227552.10708  2021 APR 20 23:43:38   233.38    13.76   190.06   -13.87      186.93   244223311.8
13802  2021 APR 21 01:31:53    2/0672240537.24065  2021 APR 21 03:20:02   180.71    13.78   137.13   -13.70      186.51   244240872.9
13803  2021 APR 21 05:08:16    2/0672253520.02538  2021 APR 21 06:56:25   128.05    13.81    84.24   -13.55      185.82   244258402.6
13804  2021 APR 21 08:44:38    2/0672266502.22977  2021 APR 21 10:32:49    75.39    13.83    31.35   -13.40      186.48   244275903.7
13805  2021 APR 21 12:21:03    2/0672279487.11518  2021 APR 21 14:09:13    22.72    13.86   338.43   -13.22      187.23   244293380.2
13806  2021 APR 21 15:57:27    2/0672292471.56596  2021 APR 21 17:45:36   330.05    13.88   285.50   -13.07      186.89   244310828.3
13807  2021 APR 21 19:33:49    2/0672305453.25029  2021 APR 21 21:22:00   277.39    13.91   232.63   -12.94      186.66   244328244.0
13808  2021 APR 21 23:10:14    2/0672318438.13083  2021 APR 22 00:58:25   224.72    13.93   179.70   -12.75      187.23   244345636.0
13809  2021 APR 22 02:46:39    2/0672331423.43275  2021 APR 22 04:34:49   172.05    13.95   126.78   -12.59      186.58   244363000.6
13810  2021 APR 22 06:23:02    2/0672344406.44432  2021 APR 22 08:11:12   119.39    13.98    73.89   -12.45      186.04   244380333.8
13811  2021 APR 22 09:59:25    2/0672357389.48927  2021 APR 22 11:47:37    66.73    14.00    20.99   -12.29      186.88   244397638.9
13812  2021 APR 22 13:35:51    2/0672370375.13387  2021 APR 22 15:24:01    14.06    14.03   328.06   -12.10      187.52   244414918.9
13813  2021 APR 22 17:12:15    2/0672383359.53743  2021 APR 22 19:00:25   321.39    14.05   275.15   -11.97      187.01   244432169.5
13814  2021 APR 22 20:48:37    2/0672396341.02330  2021 APR 22 22:36:48   268.74    14.08   222.27   -11.79      187.32   244449387.3
13815  2021 APR 23 00:25:02    2/0672409326.44607  2021 APR 23 02:13:13   216.06    14.10   169.33   -11.60      187.68   244466582.7
13816  2021 APR 23 04:01:28    2/0672422311.65068  2021 APR 23 05:49:38   163.39    14.12   116.42   -11.44      186.91   244483749.3
13817  2021 APR 23 07:37:51    2/0672435294.55791  2021 APR 23 09:26:01   110.73    14.15    63.53   -11.30      186.61   244500884.3
13818  2021 APR 23 11:14:15    2/0672448278.58825  2021 APR 23 13:02:26    58.07    14.17    10.62   -11.13      187.55   244517992.5
13819  2021 APR 23 14:50:41    2/0672461265.02803  2021 APR 23 16:38:51     5.39    14.20   317.69   -10.95      187.97   244535075.1
13820  2021 APR 23 18:27:05    2/0672474249.31370  2021 APR 23 20:15:15   312.72    14.22   264.79   -10.84      187.32   244552127.1
13821  2021 APR 23 22:03:27    2/0672487231.05602  2021 APR 23 23:51:38   260.07    14.24   211.89   -10.64      187.90   244569146.9
13822  2021 APR 24 01:39:52    2/0672500216.39874  2021 APR 24 03:28:03   207.40    14.27   158.96   -10.47      187.98   244586143.4
13823  2021 APR 24 05:16:17    2/0672513200.53969  2021 APR 24 07:04:26   154.73    14.29   106.05   -10.31      187.18   244603109.7
13824  2021 APR 24 08:52:39    2/0672526182.60238  2021 APR 24 10:40:49   102.07    14.32    53.17   -10.17      187.19   244620044.8
13825  2021 APR 24 12:29:03    2/0672539166.57607  2021 APR 24 14:17:14    49.41    14.34     0.26    -9.99      188.13   244636953.8
13826  2021 APR 24 16:05:28    2/0672552152.27919  2021 APR 24 17:53:38   356.73    14.36   307.33    -9.82      188.29   244653836.3
13827  2021 APR 24 19:41:51    2/0672565135.19081  2021 APR 24 21:30:01   304.07    14.39   254.44    -9.71      187.71   244670686.8
13828  2021 APR 24 23:18:14    2/0672578117.45842  2021 APR 25 01:06:25   251.41    14.41   201.54    -9.52      188.41   244687508.2
13829  2021 APR 25 02:54:39    2/0672591102.65470  2021 APR 25 04:42:49   198.74    14.44   148.61    -9.35      188.25   244704304.7
13830  2021 APR 25 06:31:02    2/0672604086.28157  2021 APR 25 08:19:12   146.08    14.46    95.71    -9.20      187.46   244721070.2
13831  2021 APR 25 10:07:24    2/0672617068.19019  2021 APR 25 11:55:35    93.42    14.48    42.83    -9.05      187.80   244737805.0
13832  2021 APR 25 13:43:48    2/0672630052.34184  2021 APR 25 15:32:00    40.76    14.51   349.92    -8.87      188.68   244754514.3
13833  2021 APR 25 17:20:13    2/0672643037.36723  2021 APR 25 19:08:23   348.09    14.53   296.99    -8.71      188.60   244771196.0
13834  2021 APR 25 20:56:36    2/0672656019.45537  2021 APR 25 22:44:46   295.43    14.56   244.11    -8.59      188.27   244787845.2
13835  2021 APR 26 00:32:59    2/0672669002.56162  2021 APR 26 02:21:10   242.77    14.58   191.20    -8.40      188.95   244804467.0
13836  2021 APR 26 04:09:24    2/0672681987.51198  2021 APR 26 05:57:34   190.10    14.60   138.27    -8.23      188.60   244821062.4
13837  2021 APR 26 07:45:46    2/0672694970.21851  2021 APR 26 09:33:56   137.44    14.63    85.38    -8.08      187.90   244837626.0
13838  2021 APR 26 11:22:08    2/0672707952.22257  2021 APR 26 13:10:20    84.78    14.65    32.49    -7.93      188.50   244854160.2
13839  2021 APR 26 14:58:33    2/0672720936.57657  2021 APR 26 16:46:44    32.11    14.67   339.58    -7.74      189.31   244870668.8
13840  2021 APR 26 18:34:57    2/0672733921.28896  2021 APR 26 20:23:07   339.44    14.70   286.65    -7.59      189.03   244887148.7
13841  2021 APR 26 22:11:19    2/0672746902.53402  2021 APR 26 23:59:30   286.79    14.72   233.78    -7.46      188.77   244903595.6
13842  2021 APR 27 01:47:43    2/0672759887.15486  2021 APR 27 03:35:55   234.12    14.74   180.86    -7.28      189.37   244920017.6
13843  2021 APR 27 05:24:08    2/0672772872.26399  2021 APR 27 07:12:19   181.45    14.77   127.94    -7.12      188.78   244936411.7
13844  2021 APR 27 09:00:31    2/0672785854.57779  2021 APR 27 10:48:41   128.79    14.79    75.05    -6.98      188.21   244952773.6
13845  2021 APR 27 12:36:53    2/0672798837.24906  2021 APR 27 14:25:05    76.13    14.82    22.16    -6.81      189.00   244969106.5
13846  2021 APR 27 16:13:18    2/0672811822.26288  2021 APR 27 18:01:30    23.46    14.84   329.23    -6.63      189.71   244985413.7
13847  2021 APR 27 19:49:43    2/0672824806.47411  2021 APR 27 21:37:52   330.80    14.86   276.32    -6.49      189.25   245001691.1
13848  2021 APR 27 23:26:04    2/0672837787.43773  2021 APR 28 01:14:16   278.14    14.89   223.44    -6.32      189.45   245017935.4
13849  2021 APR 28 03:02:29    2/0672850773.06952  2021 APR 28 04:50:41   225.47    14.91   170.51    -6.13      189.83   245034156.2
